 ,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,6dGnYIeXmHdcikdzNNDMm2,9/26/1969,83,185733,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,129.171,9,4,Happy,0.497,Chill
Highway to Hell,Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,7/27/1979,83,208400,0.574,0.061,0.913,0.00158,0.156,0.423,-4.793,0.133,115.728,6,4,Happy,0.636666667,Pop Chill
Holding On,Scary Kids Scaring Kids,Scary Kids Scaring Kids,48H6uWuBYeeZUiXwb5f69K,9/25/2007,45,261240,0.421,0.000442,0.935,0.000212,0.1,0.455,-5.153,0.0697,165.02,8,4,Happy,0.603666667,Pop Chill
Hollowman,Trapt,Trapt,3MOdqpj30w4Wk96bBwLJk9,11/5/2002,36,303013,0.502,0.000214,0.92,0,0.306,0.182,-4.588,0.0611,159.884,2,4,Happy,0.534666667,Pop Chill
Holy Water,Holy Water,Galantis,7Ga9ZSdPAcQXQvd1ObVFpm,9/27/2019,62,176657,0.587,0.0653,0.734,0.000571,0.398,0.401,-4.558,0.0407,125.848,9,4,Happy,0.574,Pop Chill
Home,Home,Lucas & Steve,3Qsp2uAtcDCrrlknJtUPj8,7/20/2018,46,189834,0.544,0.00851,0.932,0.00811,0.157,0.337,-5.816,0.0679,125.954,10,4,Happy,0.604333333,Pop Chill
"Honey, This Mirror Isn't Big Enough for the Two of Us","I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,5gNVTfD1L6QrPgOf0wFo0q,2002,54,231096,0.383,0.000328,0.946,1.13E-06,0.0537,0.534,-8.122,0.0789,108.591,1,4,Happy,0.621,Pop Chill
Hoovela,Hoovela,Steve Aoki,1dssHOp3HpaK9o5c0CL7xU,10/5/2018,0,207295,0.341,0.00123,0.989,0.822,0.4,0.119,-3.828,0.111,103.48,4,1,Happy,0.483,Chill
How Bizarre,How Bizarre,OMC,6RT3PxDEQOa7m6tK502DNa,1996,0,224053,0.784,0.261,0.675,1.40E-06,0.293,0.854,-7.718,0.049,124.908,0,4,Happy,0.771,Hard Rock
How To Fight,How To Fight,Eartheater,6ruBSXfnFc6raFDFm9YB3r,8/5/2020,38,211295,0.404,0.702,0.249,0.000911,0.171,0.284,-15.881,0.0472,120.221,7,4,Sad,0.312333333,Lofi
Human Connection,Human Connection,Cult Solo,1V17xHHZgIgZ6H14rinHdi,11/2/2017,49,328040,0.6,0.0938,0.882,0.912,0.0542,0.347,-8.394,0.0311,120.008,5,4,Happy,0.609666667,Pop Chill
Humans (Let Me Love You),Humans (Let Me Love You),Sick Individuals,1IB1GFSTgmeecjscmAJ0lW,5/24/2019,59,161048,0.584,0.21,0.835,1.49E-06,0.126,0.371,-3.663,0.0584,128.106,7,4,Happy,0.596666667,Pop Chill
Hunter,Hunter,Anna Calvi,2NRZo1Y3T6UaVCz1i8dMqm,7/31/2018,22,251693,0.439,0.316,0.454,0.000696,0.0901,0.388,-8.251,0.028,97.97,5,4,Sad,0.427,Chill
Hypnagogia Well,Hypnagogia Well,Monocle Twins,2jpL7mFOMzRnbaSj790BfQ,10/17/2019,50,222000,0.545,0.771,0.253,0.922,0.108,0.0529,-17.953,0.033,115.848,2,4,Sad,0.283633333,Lofi
I Can't Help (with Sarcastic Sounds),I Can't Help (with Sarcastic Sounds),Shoffy,1OdYu7mDO94ydUvfZPaPvP,2/7/2020,47,121250,0.714,0.393,0.4,0.000718,0.109,0.318,-8.264,0.0618,81.974,2,4,Happy,0.477333333,Chill
I Don't Know (feat. Samuel T. Herring),I Don't Know (feat. Samuel T. Herring),BADBADNOTGOOD,2rx8InAMTVDeZdkLUWHDmA,10/20/2017,0,256040,0.389,0.24,0.52,0.00467,0.337,0.654,-8.114,0.0332,134.329,0,4,Happy,0.521,Pop Chill
I Don't Trust That Bird of Prey,Requiescence,Random Forest,33gVbwdqw7aRX0Y2zM7qm3,10/4/2019,51,210500,0.52,0.605,0.305,0.899,0.16,0.0389,-14.38,0.0322,120.109,7,4,Sad,0.287966667,Lofi
I Stand Alone,"Good Times, Bad Times - Ten Years of Godsmack",Godsmack,6pGJTJaExyKwwXBmcoyVlY,1/1/2007,0,243840,0.211,4.51E-05,0.921,0,0.1,0.351,-4.468,0.0729,171.9,0,4,Happy,0.494333333,Chill
I Took A Pill In Ibiza,"At Night, Alone.",Mike Posner,1PiKcVhlmHPvL7IPjx9dJk,5/6/2016,0,280800,0.636,0.618,0.319,1.70E-06,0.125,0.378,-10.065,0.0718,74.109,10,4,Sad,0.444333333,Chill
I Was Made For Lovin' You,Dynasty (Remastered Version),KISS,2ZSCy3P1QzpJySCWA6NRIU,3/23/1979,1,271240,0.768,0.213,0.852,7.45E-05,0.0723,0.867,-6.215,0.038,128.374,4,4,Happy,0.829,Hard Rock
I Would Die 4 U,Purple Rain,Prince,6fBwVe6udYdnRqwqo06if8,6/25/1984,61,178986,0.731,0.0862,0.75,0.000388,0.202,0.639,-10.457,0.0321,135.406,2,4,Happy,0.706666667,Hard Rock
I dine øjne,I dine øjne,Efterklang,07htwTiSZVnQfdl38siCIn,8/21/2019,0,297249,0.67,0.762,0.417,0.0214,0.104,0.0708,-12.553,0.0404,121.13,8,4,Sad,0.385933333,Chill
I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,My Chemical Romance,7lRlq939cDG4SzWOF4VAnd,6/8/2004,73,186480,0.21,0.00602,0.94,0,0.269,0.255,-3.427,0.123,179.722,9,4,Happy,0.468333333,Chill
I'm Your Man,And Nothing Hurt,Spiritualized,5FRWe0PkPj4CQ4fvibzTEh,9/7/2018,32,268655,0.429,0.475,0.356,0.481,0.125,0.0965,-7.615,0.0282,139.915,0,3,Sad,0.293833333,Lofi
I've Been Fine,LoveLaws,TT,0KyPBZ6PAxzpcAobqxhaHu,5/18/2018,23,241079,0.548,0.13,0.569,0.00134,0.0584,0.265,-6.215,0.039,75.082,11,4,Happy,0.460666667,Chill
ID8,ID8,Dimitri Vangelis & Wyman,2jxfHzOYVLmGKejNRHvqoc,3/6/2020,51,197183,0.576,0.0198,0.948,0.000123,0.683,0.193,-4.251,0.0898,128.029,9,3,Happy,0.572333333,Pop Chill
If You Believe,Unification,Yonder Dale,0QurRfrHz1RGbdPpTx7lLV,5/22/2020,37,183428,0.575,0.937,0.202,0.441,0.103,0.142,-18.544,0.0444,139.943,8,4,Sad,0.306333333,Lofi
If You Think It's Love,Cheap Queen,King Princess,3iiL6merNpFNX1bny9sfvM,10/25/2019,57,203946,0.432,0.807,0.34,0,0.0864,0.449,-7.977,0.0824,135.172,5,4,Sad,0.407,Chill
Images,Images,DeLange,4sqIHHGPprOZNdW5zMx36p,6/5/2020,42,163666,0.387,0.993,0.00579,0.929,0.136,0.137,-21.823,0.0439,111.991,7,4,Sad,0.176596667,Lofi
In This Moment,In This Moment,Lucas Delphy,7FORBAxm1qwuwbYo7Rtz42,5/27/2019,51,158666,0.479,0.771,0.221,0.856,0.101,0.089,-19.689,0.0325,115.965,6,4,Sad,0.263,Lofi
Indigo,Indigo,LEFT.,2qoKkOBw3dAd8AlITOQ2Ca,3/8/2019,49,196589,0.503,0.488,0.504,1.59E-06,0.122,0.67,-6.843,0.416,85.39,0,4,Happy,0.559,Pop Chill
Infinite Sustain,Infinite Sustain,Amaranth Cove,5AciiCKJKTLKRrAPSrKQy5,10/4/2019,57,149000,0.529,0.8,0.214,0.907,0.109,0.0903,-19.268,0.0315,124.069,6,4,Sad,0.277766667,Lofi
Ingénue,Ingénue,Eline Moss,6mgKP4yo57GTSMc3fJlyWm,11/18/2019,55,158176,0.283,0.993,0.122,0.905,0.0927,0.112,-23.074,0.0285,83.746,9,4,Sad,0.172333333,Lofi
Inside Of You,Every Man For Himself (Red Package),Hoobastank,6okaxit4V1bU6yIVVsP836,1/1/2006,0,188800,0.435,0.000203,0.884,0,0.0876,0.82,-3.468,0.0392,201.773,2,4,Happy,0.713,Hard Rock
Inside the Fire,Disturbed,Disturbed,1xHcapGIorRGVlBnWE7X4N,4/26/2010,12,231573,0.463,0.000233,0.962,0.109,0.0906,0.66,-6.43,0.0704,94.003,7,4,Happy,0.695,Hard Rock
Inside*,Inside*,Ton Snijders,3GuzB4BEWq3bhZM8YydysZ,6/12/2020,8,106573,0.266,0.99,0.0028,0.889,0.0933,0.151,-33.729,0.0493,132.581,7,4,Sad,0.139933333,Lofi
Intermezzo No. 1 in E Minor,Intermezzo No. 1 in E Minor,Manuel Ponce,1HTYYXCKpMWiHRd7qIb6ui,2014,7,174013,0.31,0.995,0.0987,0.86,0.714,0.0558,-25.408,0.0444,106.205,4,1,Sad,0.154833333,Lofi
Into Black,Blouse,Blouse,5d8pKJxoDlYX2SoFR6RCsm,10/31/2011,47,208237,0.705,0.463,0.681,0.839,0.123,0.707,-8.278,0.0258,114.003,9,4,Happy,0.697666667,Hard Rock
Isonoe,GLIESE,Job Roggeveen,4sP8BZIZKGVq6jHOSPF17A,2/28/2020,23,159045,0.365,0.983,0.119,0.919,0.112,0.249,-20.962,0.0405,147.573,7,4,Sad,0.244333333,Lofi
It Takes Me Back,Hopeless Romantics,Emmrose,07FUh3cxCPNQFIIp8aSWCy,3/20/2020,41,142200,0.487,0.902,0.111,0.000107,0.35,0.179,-11.608,0.0356,87.161,5,4,Sad,0.259,Lofi
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),Built From Scratch,X-Ecutioners,6Xb5klX1nnSUxoh2AyZd54,2/26/2002,40,248573,0.674,0.00165,0.89,0.0136,0.0465,0.9,-3.953,0.274,104.862,8,4,Happy,0.821333333,Hard Rock
It's My Fault,It's My Fault,Lolo Zouaï,3QP17SZh39ZVczQnopq9BE,4/24/2020,54,195986,0.647,0.815,0.235,1.78E-05,0.233,0.0382,-10.123,0.0389,129.85,8,4,Sad,0.306733333,Lofi
Jealous,Jealous,Labrinth,4L2K7JKseFCBoHMZEAszW0,11/21/2014,79,287693,0.435,0.873,0.155,0,0.107,0.0935,-8.948,0.046,128.532,1,3,Sad,0.227833333,Lofi
"John Wayne Gacy, Jr.",Illinois,Sufjan Stevens,2gFBh7NnEfSeBoZZDB5d2C,7/5/2005,50,199920,0.463,0.917,0.179,1.73E-05,0.12,0.183,-14.852,0.0402,80.747,0,4,Sad,0.275,Lofi
Juliens Journey,Juliens Journey,Reinhard Vanbergen,0DVw5GHPCUImZ8VmRdlbmx,5/29/2020,33,219213,0.578,0.994,0.0154,0.945,0.0799,0.244,-24.126,0.0987,123.953,2,3,Sad,0.279133333,Lofi
Jupiter 4,Jupiter 4,Sharon Van Etten,64BirkPW9F4XgzoLAiOBCP,11/27/2018,39,314080,0.475,0.0168,0.498,0.492,0.137,0.0592,-10.609,0.0303,88.882,10,4,Sad,0.344066667,Lofi
Just Can't Get Enough - Live in Hammersmith,Love In Itself.2 and Live Tracks,Depeche Mode,5LAdBsIfjzAsusjc6WSLmH,1/1/1983,56,335466,0.653,0.0082,0.975,0.5,0.678,0.911,-9.071,0.0409,126.919,0,4,Happy,0.846333333,Hard Rock
Just Look at You,432 Water Crystals,369,62X7ld1sa8RHl4zRtSvfHf,2/21/2020,59,187385,0.558,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,7,4,Sad,0.306,Lofi
Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1ko2lVN0vKGUl9zrU0qSlT,1985,70,237106,0.803,0.576,0.488,0.0609,0.0763,0.624,-9.303,0.0803,95.771,1,4,Happy,0.638333333,Pop Chill
K.,K.,Rosie Carney,6vG1pcmNGdG6Vu62I9nLGL,1/5/2018,58,269000,0.348,0.962,0.226,0.00483,0.135,0.173,-10.918,0.0386,129.251,3,3,Sad,0.249,Lofi
Kangaroo (Remastered),It'll End In Tears (Remastered),This Mortal Coil,1HdIqEOl9MxoJNsz33VOvW,1984,47,209093,0.19,0.768,0.167,0.164,0.126,0.0491,-11.298,0.0291,169.636,3,4,Sad,0.135366667,Lofi
Kaolnite,Kaolnite,Burgundy Skies,4fItBSHKBcgKWixN1Idie5,3/15/2019,50,180689,0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,1,4,Sad,0.1755,Lofi
Keep Going,Keep Going,Mark Milan,4Hhup3YZfajcC7O0DNbwCq,12/20/2019,31,200527,0.385,0.994,0.305,0.949,0.109,0.172,-12.044,0.0466,74.024,3,4,Sad,0.287333333,Lofi
Kids In The Dark,Kids In The Dark,Bat For Lashes,2dqq3YMX6nlJKXhrjY5W4J,6/10/2019,35,208613,0.47,0.524,0.526,0.00557,0.0856,0.257,-10.987,0.0307,138.978,1,4,Sad,0.417666667,Chill
Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,1992,78,313573,0.466,0.0266,0.833,0,0.0327,0.661,-4.215,0.304,88.785,7,4,Happy,0.653333333,Hard Rock
Kinky Living,Clockdust,Rustin Man,4eMoWR7Lughvru6Rn97uPi,3/20/2020,19,285000,0.526,0.709,0.493,0.606,0.0993,0.574,-9.728,0.0428,154.071,2,4,Happy,0.531,Pop Chill
Kinky Love,Flesh Balloon,Pale Saints,3Uz3K1Ctq6MOIDqRddKHXo,6/24/1991,46,244240,0.376,0.133,0.277,0,0.0643,0.309,-18.291,0.0357,178.814,1,4,Sad,0.320666667,Lofi
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,62LJFaYihsdVrrkgUOJC05,3/31/1986,73,226240,0.898,0.0135,0.271,0.00138,0.0461,0.742,-12.238,0.091,111.485,7,4,Happy,0.637,Pop Chill
Kiss On My List - Remastered,Hall & Oates,Daryl Hall & John Oates,3Jrf9MHZZWx3cXBeMkZWUu,5/15/2006,37,261200,0.806,0.138,0.847,0.00157,0.067,0.97,-4.47,0.0319,121.718,0,4,Happy,0.874333333,Hard Rock
Kiss You All Over - Single Edit,Kiss You All Over,Isaac Elton,1wHkIswzW9zGCOLDBYbHFL,10/3/2017,47,240383,0.696,0.0578,0.824,8.56E-06,0.158,0.667,-5.67,0.0538,126.023,0,4,Happy,0.729,Hard Rock
Kite,Kite,YuMe,6a8U8DihiuewRpRQ2OOCVU,2/7/2020,35,110714,0.534,0.973,0.019,0.896,0.108,0.157,-26.071,0.0413,115.917,7,4,Sad,0.236666667,Lofi
Klangfall - Piano Version,Klangfall (Piano Version),Joep Beving,4pWowM3xMkRYgHsIJDf61f,1/17/2020,42,353007,0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,0,4,Sad,0.171366667,Lofi
La Luz,Chapter I,City of the Sun,6iQ6AKHlGjQTrpZIqfOtyK,11/15/2019,49,303120,0.559,0.0463,0.441,0.763,0.115,0.389,-13.862,0.0398,94.014,7,4,Happy,0.463,Chill
Last Time,Last Time,Johnning,7v3tuzPub1Qd490tiVddwF,5/15/2020,54,202480,0.628,0.111,0.587,0,0.156,0.4,-5.195,0.0441,140.01,7,4,Happy,0.538333333,Pop Chill
Late in the Evening,One-Trick Pony,Paul Simon,2h23bjG8B3bcD47HBu6bHG,8/1/1980,60,242706,0.72,0.199,0.88,0.0246,0.0865,0.961,-8.988,0.0406,118.623,5,4,Happy,0.853666667,Hard Rock
Laugavegur,Laugavegur,Dreyma,4nZSgFwgYUOyWcBX61JY6j,10/9/2018,56,188795,0.515,0.54,0.408,0.769,0.0916,0.308,-12.688,0.0385,115.002,7,4,Sad,0.410333333,Chill
Lay Your Head On Me (feat. Marcus Mumford),Lay Your Head On Me (feat. Marcus Mumford),Major Lazer,0oB9964bp22Bmok0Dmxlzb,3/26/2020,61,199895,0.658,0.0471,0.765,1.02E-05,0.0936,0.222,-7.002,0.0469,119.974,11,4,Happy,0.548333333,Pop Chill
Let It Go,Chaos And The Calm,James Bay,13HVjjWUZFaWilh2QUJKsP,12/15/2014,73,260533,0.546,0.818,0.311,1.65E-05,0.107,0.246,-10.396,0.0288,147.464,1,4,Sad,0.367666667,Chill
Let It Out,Xy Chelsea (Original Soundtrack),Jehnny Beth,72rHjyz3i7K90Hk1eF1f0c,6/7/2019,38,213173,0.596,0.381,0.528,0.859,0.205,0.15,-12.481,0.0289,117.041,2,4,Sad,0.424666667,Chill
Let's Go Crazy,Purple Rain,Prince,0QeI79sp1vS8L3JgpEO7mD,6/25/1984,63,280000,0.309,0.0192,0.93,0.0022,0.106,0.376,-6.399,0.125,195.815,11,4,Happy,0.538333333,Pop Chill
Lift Me Up (feat. Carla Monroe),Lift Me Up (feat. Carla Monroe),Oliver Heldens,0vK80mtYypq4dAwQelZ2Dh,11/15/2019,65,177120,0.579,0.0426,0.784,0.0235,0.317,0.562,-4.686,0.0659,125.122,5,4,Happy,0.641666667,Pop Chill
Light Year,Light Year,Evan Michael Brown,1C2JiKNMjv8FaZlrgwObBJ,7/28/2019,51,234000,0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,9,4,Sad,0.175966667,Lofi
Light Years,Light Years,The National,0dcKsPZVWa64MvnoCes49q,4/4/2019,0,213373,0.544,0.95,0.316,0.7,0.0978,0.173,-11.666,0.0307,124.989,4,4,Sad,0.344333333,Lofi
Lights Go Down,Lights Go Down,Mike Candys,2shD8wlebq8fDg6ChqOPkC,10/18/2019,57,155520,0.741,0.00254,0.812,0.104,0.301,0.146,-5.356,0.039,124.991,1,4,Happy,0.566333333,Pop Chill
Like The First Time - House Mix,Like The First Time,Isaac Elton,5ABnK6bOqbsIRVsrc1UBOt,2/1/2018,50,209000,0.775,0.00481,0.876,0.0536,0.661,0.797,-9.58,0.0383,123.979,0,4,Happy,0.816,Hard Rock
Like The Way I Do,Greatest Hits - The Road Less Traveled,Melissa Etheridge,38TXeCvUUqf3PeoPvnERV6,2005,0,324760,0.591,0.0213,0.931,0,0.122,0.673,-4.84,0.0557,101.551,2,4,Happy,0.731666667,Hard Rock
Like We Do,Like We Do,Fedde Le Grand,1Qf07UNBIu1XolBnl7XTi8,5/13/2019,48,161992,0.614,0.0125,0.96,0.687,0.366,0.0392,-5.081,0.0465,128.019,2,4,Happy,0.537733333,Pop Chill
Limitless,Limitless,Lucas Delphy,5QGNwI8U3o9mQg7RR3yOPj,10/31/2019,54,165685,0.238,0.404,0.191,0.888,0.107,0.0365,-20.242,0.0351,140.282,7,4,Sad,0.155166667,Lofi
Linger,Linger,No Vacation,7zWQ9qz0vAK75QBTGLZ0Wb,4/1/2019,40,262375,0.54,0.0122,0.574,0.000658,0.226,0.225,-7.006,0.0232,94.975,7,4,Sad,0.446333333,Chill
Listen to the Music,Toulouse Street,The Doobie Brothers,7Ar4G7Ci11gpt6sfH9Cgz5,1972,77,227266,0.645,0.221,0.598,3.53E-06,0.0721,0.913,-13.18,0.0335,105.929,1,4,Happy,0.718666667,Hard Rock
Listening,In Love and Death,The Used,528rajP3OyhornDwrsQrt4,9/27/2004,40,166226,0.475,0.000121,0.907,0,0.034,0.408,-5.064,0.0941,92.578,0,4,Happy,0.596666667,Pop Chill
Litost,Litost,Minxz,0bMcjygjhkTVB8T4r3xCde,4/26/2019,22,152456,0.383,0.988,0.101,0.919,0.102,0.242,-18.306,0.0427,119.709,0,3,Sad,0.242,Lofi
Little Lion Man,Sigh No More (Benelux Edition),Mumford & Sons,1QTixxvaGxwe6GF8PBwAve,11/16/2012,46,247000,0.515,0.0244,0.496,7.24E-06,0.0895,0.442,-8.018,0.0275,138.61,5,4,Happy,0.484333333,Chill
Little Talks,My Head Is An Animal,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,1/1/2012,78,266600,0.457,0.0206,0.757,0,0.146,0.417,-5.177,0.032,102.961,1,4,Happy,0.543666667,Pop Chill
Little Things,Sixteen Stone,Bush,29IRVQao62okE22TDamSnm,12/6/1994,0,264293,0.367,0.000229,0.915,0,0.184,0.215,-5.453,0.0682,112.642,7,4,Happy,0.499,Chill
Living,Reflection of Youth,EERA,4ytv5Yzyal3LzKyMjRXjse,11/3/2017,31,279826,0.46,0.14,0.59,0.591,0.112,0.212,-9.375,0.0327,118.008,6,4,Sad,0.420666667,Chill
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",One for the Road (Live),The Kinks,3JbE6e17yvNdPggjPDrCyO,6/4/1980,53,287333,0.488,0.153,0.777,0.0312,0.825,0.481,-12.658,0.0894,81.437,9,4,Happy,0.582,Pop Chill
London Thunder,London Thunder,Foals,4gkoh2vAD57fGEITzteaUh,8/24/2015,37,254426,0.489,0.641,0.357,0.333,0.0838,0.0388,-9.745,0.0259,92.009,6,4,Sad,0.294933333,Lofi
Lonely Boy,What's Wrong with This Picture?,Andrew Gold,6wGMLoEqD2k3RBXFHD0yUp,1976,55,264893,0.588,0.0386,0.598,5.83E-05,0.107,0.866,-13.288,0.0296,123.724,9,4,Happy,0.684,Hard Rock
Long Way Down,Long Way Down (Deluxe),Tom Odell,1uVk6S6Fpkrmji0iTpgKEC,6/24/2013,59,149773,0.367,0.972,0.121,0.0322,0.0871,0.0926,-13.778,0.0335,132.244,6,4,Sad,0.193533333,Lofi
Lorelei,Treasure,Cocteau Twins,1MwGbyzRmPXWABLIdW8tzG,11/1/1984,53,223573,0.387,0.000158,0.669,0.423,0.166,0.414,-11.187,0.0395,90.995,0,4,Happy,0.49,Chill
Los Feliz,Los Feliz,Search For Atlantis,0efOqjQkOgWPEZTzAZSB6j,5/27/2019,49,166927,0.575,0.197,0.373,0.898,0.0753,0.123,-11.642,0.0279,74.975,11,4,Sad,0.357,Chill
Losing You,Human,Aquilo,5aFSzu0b7ccAYjTkbTNTsQ,12/8/2014,50,205859,0.383,0.63,0.446,0,0.0946,0.213,-8.693,0.0382,77.399,0,4,Sad,0.347333333,Lofi
Lost,Lost,Annelie,7nC2EOpMnpDT2DkvniimSm,6/5/2020,64,161520,0.389,0.972,0.1,0.934,0.113,0.0676,-22.464,0.0358,133.839,10,4,Sad,0.185533333,Lofi
Lost Moon,I Can Feel the Night Around Me,Nightlands,5QlL4Rxjw3MQbx8Xvs75ts,5/5/2017,33,356125,0.448,0.328,0.591,0.708,0.111,0.303,-9.291,0.0327,145.482,0,4,Sad,0.447333333,Chill
Love Is A Losing Game,Back To Black,Amy Winehouse,4IMBnBRqm9RALmLrRqfMor,1/1/2006,0,154160,0.48,0.317,0.561,0.00641,0.184,0.541,-5.874,0.027,164.791,0,4,Happy,0.527333333,Pop Chill
Lovely Day,Lean on Me: The Best of Bill Withers,Bill Withers,0ACACkoHUwgfgY5CxVIL4N,8/9/1994,67,255066,0.693,0.194,0.565,0.000175,0.0806,0.692,-12.583,0.0345,97.937,9,4,Happy,0.65,Pop Chill
Lunar Eclipse,Lunar Eclipse,Marc Torch,0n2X57zaddr0ODIxUb64Sx,5/22/2020,50,156473,0.632,0.224,0.469,0.854,0.0902,0.316,-10.513,0.0307,128,11,4,Happy,0.472333333,Chill
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",Jeux,Arthur Jussen,534nbCFk48DR1UQt2XlxSx,1/1/2013,29,82880,0.517,0.995,0.0145,0.884,0.0719,0.549,-42.018,0.0615,62.122,0,4,Sad,0.360166667,Chill
Machinehead,Bush Digital Collection,Bush,1iTzI4NSQNLIETWDJ1WNWi,2005,0,256360,0.15,4.24E-05,0.875,0.00103,0.0957,0.156,-7.27,0.0975,169.806,9,3,Sad,0.393666667,Chill
Mad About You,The Magnificent Tree,Hooverphonic,5drK2kTE2mrUdV33iHWyrx,2000,62,223733,0.465,0.00109,0.844,0.399,0.0865,0.155,-4.352,0.0379,170.358,1,4,Happy,0.488,Chill
Make Believe,Make Believe,Quintino,56oqWZUaA8ZmHQCH3lCRI3,8/9/2019,59,194531,0.587,0.03,0.882,0.116,0.195,0.0653,-5.838,0.0427,127.97,0,4,Happy,0.511433333,Pop Chill
Malibu,Malibu,Matthew Harvey,3RlwtjeKhemCfiPvwMFozS,8/14/2019,50,150405,0.435,0.977,0.154,0.85,0.0728,0.0799,-21.451,0.0367,148.1,6,4,Sad,0.222966667,Lofi
Marbles,The First Tindersticks Album,Tindersticks,4iVWQTuwKG4JKtGOjx6T9V,10/11/1993,40,269866,0.49,0.0934,0.521,0.862,0.266,0.148,-9.601,0.0295,107.778,2,4,Sad,0.386333333,Chill
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,6vxHp3CDNo0afgKGp2yi1E,1/14/1972,73,164813,0.626,0.237,0.816,1.80E-06,0.104,0.798,-10.593,0.13,105.33,9,4,Happy,0.746666667,Hard Rock
Melancholé,Melancholé,Biba Dupont,3SdkYA8frHe3BMZsPVPrRq,6/26/2020,34,149647,0.369,0.996,0.0283,0.941,0.101,0.119,-25.76,0.0399,83.391,2,4,Sad,0.1721,Lofi
Mercy - Live,Retrospective,Hilary Hahn,4BntWROKZB5E0Y0K3LoHSQ,1/19/2018,0,326146,0.211,0.916,0.0838,0.41,0.102,0.0404,-20.882,0.0398,90.249,10,4,Sad,0.111733333,Lofi
Message In A Bottle - Remastered 2003,Reggatta De Blanc (Remastered),The Police,3bN4tg6rnNPy9GCkGhym4T,10/2/1979,1,290280,0.577,0.0338,0.808,1.33E-05,0.221,0.869,-7.04,0.039,151.008,1,4,Happy,0.751333333,Hard Rock
Midnight Sun,Midnight Sun,Nicky Romero,6qTP59Amjny78Qd8zayuNW,5/10/2019,57,145039,0.614,0.0574,0.98,2.51E-05,0.086,0.179,-3.61,0.199,127.062,3,4,Happy,0.591,Pop Chill
Mil Sonidos,Mil Sonidos,Reina del Mar,11oVQ68B4PnVQHIY6svpXg,10/11/2019,59,192000,0.221,0.958,0.183,0.821,0.102,0.057,-17.59,0.0362,117.321,6,4,Sad,0.153666667,Lofi
Mind-wanders,Journey to the unknown,Patrick Hamilton,4sYNRSlV9pGInYcbsC18Jz,7/10/2020,32,207500,0.312,0.959,0.0185,0.901,0.111,0.147,-25.607,0.0437,176.972,9,4,Sad,0.159166667,Lofi
Mindfulness,Mindfulness,Amoll,3EQPb4sdkNPCHb6AMyUTXj,12/13/2019,29,207554,0.692,0.992,0.00643,0.847,0.0452,0.16,-34.388,0.0553,105.987,9,4,Sad,0.286143333,Lofi
Minus,Minus,Daniel Blumberg,5Z8onMr6EW2eNDamrDoWi5,3/15/2018,0,342493,0.244,0.501,0.254,0.0458,0.105,0.0909,-12.966,0.0296,81.049,7,4,Sad,0.1963,Lofi
Miss You - Remastered,Some Girls (Deluxe Version),The Rolling Stones,5pTWpY8l7B1XcQnijEFGFj,6/9/1978,53,288666,0.795,0.443,0.71,0.0215,0.344,0.845,-4.746,0.0392,109.689,9,4,Happy,0.783333333,Hard Rock
Misty Mornings,Misty Mornings,Wilson Trouvé,5FXnCOAkMUAf4QIS56MRQL,1/10/2020,30,225700,0.522,0.981,0.0781,0.927,0.361,0.0796,-24.89,0.0424,107.038,10,4,Sad,0.226566667,Lofi
Momentum,Momentum,Monocle Twins,7Ln0DgKSrDG0ALbtNwGeml,4/8/2020,52,178741,0.636,0.891,0.248,0.922,0.106,0.138,-17.313,0.0309,117.006,4,3,Sad,0.340666667,Lofi
Montana,Montana,Le Verne,1EyctTkkGJVS3UYTuy8YZM,5/13/2019,49,133645,0.435,0.913,0.0595,0.882,0.104,0.0898,-17.456,0.0435,115.929,2,4,Sad,0.194766667,Lofi
Monumental,Monumental,Antuigo,6CKu6K0xvozAgFlQq44Z56,1/28/2020,56,195057,0.491,0.916,0.217,0.962,0.177,0.0647,-6.805,0.0521,99.97,4,4,Sad,0.257566667,Lofi
